id,name,neighbourhood,neighbourhood_cleansed,room_type,price,latitude,longitude
45170669,Zentrale Lage / 18qm / Berlins Party-Viertel Nr. 1,"Berlin, Germany",Frankfurter Allee Nord,Private room,$20.00,52.51628,13.45979
45170901,Große entspannte Wohnung in Kreuzberg,,südliche Luisenstadt,Private room,$25.00,52.49448,13.43387
45173813,"Cozy, centrally located room with monitor","Berlin, Germany",Alt  Treptow,Private room,$30.00,52.48942,13.456920000000002
45183239,Sunny duplex apt. on northern Friedrichstrasse,"Berlin, Germany",Alexanderplatz,Entire home/apt,$99.00,52.52713000000001,13.38737
45183883,The Cosy Room next to Mauerpark 🌿☀️,"Berlin, Germany",Prenzlauer Berg Nordwest,Private room,$35.00,52.54492,13.41143
45184274,Schöne große Altbauwohnung in Friedrichshain,,Frankfurter Allee Nord,Entire home/apt,$110.00,52.52051,13.45209
45184655,Living in the heart of Berlin,,Prenzlauer Berg Nord,Entire home/apt,$92.00,52.55188,13.418070000000002
45185890,Cozy apartment nearby East side Gallery,"Berlin, Germany",Karl-Marx-Allee-Süd,Entire home/apt,$47.00,52.51181,13.43852
45188959,Cosy and huge room in a 70m2 apartment,"Berlin, Germany",Alt-Lichtenberg,Private room,$25.00,52.5155,13.49461
45195914,Charmantes Altstadt-Appartement auf 142qm,,Altstadt-Kietz,Entire home/apt,$89.00,52.44537,13.57714
45196512,"Großzügig, gemütlich und gut zu erreichen.","Berlin, Germany",Bohnsdorf,Entire home/apt,$65.00,52.39395,13.582
45197431,Ein ruhiges Zr. an einem schönen Ort / quiet room,"Berlin, Germany",Schloß Charlottenburg,Entire home/apt,$20.00,52.51981,13.29005
45198257,Charming studio apartment in Kreuzberg,"Berlin, Germany",nördliche Luisenstadt,Entire home/apt,$85.00,52.5058,13.43433
45199228,Stilvolle Wohnung im Herzen Berlins-Mitte,,Alexanderplatz,Entire home/apt,$59.00,52.52712,13.40708
45205540,"Shared Apartment,amazing view,Berlin","Berlin , Germany",Gropiusstadt,Shared room,$10.00,52.42219,13.46086
45209628,Top 4 Zimmer Dachgeschosswohnung - City West,,Kantstraße,Entire home/apt,$90.00,52.50727,13.32014
45211655,Super stylish designer flat in Berlin´s best place,,Schöneberg-Süd,Entire home/apt,$80.00,52.48079,13.35044
45217877,Gemütliches Altbauzimmer in Prenzlauer Berg,,Prenzlauer Berg Nord,Private room,$35.00,52.55316,13.41999
45219073,Apartment am Ostkreuz,,Frankfurter Allee Süd FK,Entire home/apt,$100.00,52.504740000000005,13.47055
45220148,Spacious room in Artists' residence,,Düsseldorfer Straße,Private room,$60.00,52.49817,13.307620000000002
45229896,Family Penthouse Apartment in Mitte,,Wedding Zentrum,Entire home/apt,$159.00,52.55285,13.37855
45230697,Stunning Apartment in the heart of Prenzlauer Berg,"Berlin, Germany",Prenzlauer Berg Süd,Entire home/apt,$96.00,52.531290000000006,13.42571
45230934,Nice 2 Room in Berlin Mitte,,Alexanderplatz,Entire home/apt,$55.00,52.521640000000005,13.40532
45231264,Nice Flat in Mitte,,Brunnenstr. Süd,Entire home/apt,$68.00,52.532340000000005,13.40317
45236360,Cute and cosy apartment in Kreuzberg!,,südliche Luisenstadt,Entire home/apt,$50.00,52.4979,13.44724
45240162,❤ BEST CENTRAL COZY ROOM MITTE & BALCONY ☼❤,"Berlin, Germany",Alexanderplatz,Private room,$49.00,52.5283,13.402920000000002
45245993,4-Bett-Zimmer mit eigenem Bad inklusive Frühstück,,Alexanderplatz,Private room,$79.00,52.52505,13.41715
45246686,"Doppelzimmer, Apple City Hotel","Berlin, Germany",Moabit West,Private room,$39.00,52.52752,13.34
45247179,Eiswerder - Inselwohnung in der Havel mit Balkon,"Berlin, Germany",Spandau Mitte,Entire home/apt,$85.00,52.54803,13.21826
45247407,"Altbauzimmer in PBerg, ruhig und zentral",,Prenzlauer Berg Nordwest,Private room,$13.00,52.55489,13.40665
45264026,Moderne Neubauwohnung im Herzen von Friedrichshain,,Karl-Marx-Allee-Nord,Entire home/apt,$68.00,52.52106,13.45077
45266788,Neues Penthouse-Studio in Ku'dammnähe - City West,"Berlin, Germany",Düsseldorfer Straße,Entire home/apt,$85.00,52.496590000000005,13.31088
45266952,Big room In Pberg,,Prenzlauer Berg Nordwest,Private room,$30.00,52.54821,13.41293
45268100,DOVE RESIDENCE,"Berlin, Germany",Otto-Suhr-Allee,Entire home/apt,$90.00,52.52047,13.31908
45268924,★ BEAUTIFUL ROOM IN MOST CENTRAL LOCATION MITTE ★,"Berlin, Germany",Alexanderplatz,Private room,$56.00,52.52844,13.40347
45271137,Wohnung in perfekter Lage,,südliche Luisenstadt,Private room,$40.00,52.49822,13.42279
45274790,Cozy room in Berlin,,Tempelhofer Vorstadt,Private room,$35.00,52.48726,13.39309
45278050,Alhamada´s Luxus.,,Alexanderplatz,Entire home/apt,$54.00,52.52134,13.40414
45281902,Pequeño gran TESORO con WiFi zona centrica BERLIN,,Frankfurter Allee Nord,Entire home/apt,$36.00,52.51906,13.46653
45282460,Zwei private Zimmer,,Kantstraße,Private room,$150.00,52.5055,13.31811
45283035,Schöneweide- Hübsche Wohnung für 4 Gäste,,Oberschöneweide,Entire home/apt,$79.00,52.47028,13.50934
45285669,Modern and cosy apartment near a park,,Fennpfuhl,Entire home/apt,$30.00,52.52989,13.472370000000002
45293618,Berlin at the Park - right in the centre yet quiet,"Berlin, Germany",Tempelhofer Vorstadt,Entire home/apt,$93.00,52.50036,13.37273
45294626,Ruhige Wohnung,,Blankenburg/Heinersdorf/Märchenland,Entire home/apt,$70.00,52.56771,13.4493
45295194,Gemütliches WG Zimmer in Spree Nähe,,Otto-Suhr-Allee,Private room,$13.00,52.51955,13.3077
45298444,Berliner Altbaucharme-Studio mit modernem Bad,"Berlin, Germany",Tempelhof,Entire home/apt,$44.00,52.45978,13.37643
45303331,Summer 2021 - Berlin is wunderbar hier !,,Parkviertel,Entire home/apt,$60.00,52.54547,13.349479999999998
45307914,Rooftop Berlin Hermannplatz,,Neuköllner Mitte/Zentrum,Entire home/apt,$65.00,52.483630000000005,13.42696
45310644,Cozy room in Marienfelde,"Berlin, Germany",Lankwitz,Private room,$30.00,52.42112,13.36001
45310665,Berlin Mitte - Potsdamer Platz - Luxus Apartment,"Berlin, Germany",Regierungsviertel,Entire home/apt,$105.00,52.51047,13.383820000000002
45312303,Super Spacious 90 sq m apartment,,Brunnenstr. Süd,Private room,$90.00,52.53836,13.40446
45315250,"ruhig, zentral gelegene voll ausgestattete Wohnung",,Frankfurter Allee Nord,Entire home/apt,$60.00,52.51766,13.46098
45326009,Dein Quartier am Nöldnerplatz,"Berlin, Germany",Neu Lichtenberg,Private room,$40.00,52.50158,13.49003
45326630,Kontaktfrei! Apartment im Zentrum Berlins.,"Berlin, Germany",Südliche Friedrichstadt,Entire home/apt,$39.00,52.502480000000006,13.38844
45328145,Helle und cozy Wohnung im Herzen von Mitte,,Brunnenstr. Süd,Entire home/apt,$60.00,52.53516,13.39838
45328429,Private Apartment,"Berlin, Germany",Tempelhofer Vorstadt,Entire home/apt,$80.00,52.48834,13.39226
45331917,Bright and cozy flat in Friedrichshain,,Frankfurter Allee Süd FK,Entire home/apt,$56.00,52.513290000000005,13.460820000000002
45331964,Modernes 2-Zimmer-Apartment in Weissensee,"Berlin, Germany",Weißensee,Entire home/apt,$35.00,52.55418,13.436520000000002
45338556,K55 - Modern Wohnen in Berlin-Mitte,"Berlin, Germany",Alexanderplatz,Entire home/apt,$65.00,52.5097,13.42231
45339029,Feel like home!,"Berlin, Germany",Helmholtzplatz,Private room,$49.00,52.54421,13.41602
45340029,Cozy minimalistic Studio Apartment,"Berlin, Germany",Prenzlauer Berg Ost,Entire home/apt,$39.00,52.54014,13.45194
45340247,Cozy Flat in the heart of Neukölln,,Schillerpromenade,Entire home/apt,$75.00,52.471680000000006,13.428920000000002
45340843,Private room with private kitchenette / balcony!,,Tempelhofer Vorstadt,Private room,$42.00,52.49166,13.4162
45342922,A full 2 bedrooms apartment in heart of Neukölln.,,Rixdorf,Entire home/apt,$65.00,52.47786,13.44815
45344512,"Dein Zuhause direkt am Mauerpark, Prenzlauer Berg",,Prenzlauer Berg Nordwest,Entire home/apt,$65.00,52.5475,13.40092
45346638,Helle familiäre Unterkunft im Herzen Berlins!,"Berlin, Germany",Mariendorf,Entire home/apt,$115.00,52.45053000000001,13.38749
45347161,Zimmer in Reihenhaus und ruhiger Lage,,Marzahn-Süd,Private room,$40.00,52.53836,13.54884
